Address,City,Region,Postamat_daily
,,,0.0
"г.Тула, Кутузова ул., 13",ТУЛА,Тульская область,4.4
"г.Тула, Степанова ул., 89 А",ТУЛА,Тульская область,2.6
"г.Тула, Пузакова ул., 1",ТУЛА,Тульская область,3.0
"г.Тула, Болдина ул., 98",ТУЛА,Тульская область,2.8
"г.Тула, Макаренко ул., 9 Б",ТУЛА,Тульская область,2.5
"г.Новомосковск, Калинина ул., 14",НОВОМОСКОВСК,Тульская область,2.7
"г.Тула, Калужское ш., 2",ТУЛА,Тульская область,4.0
"г.Тула, Октябрьская ул, 48 Б",ТУЛА,Тульская область,3.2
"г.Ефремов, Тульское шоссе, 18 п.1-25",ЕФРЕМОВ,Тульская область,2.6
"г.Ефремов, Ленина ул., 29",ЕФРЕМОВ,Тульская область,2.1
"г.Тула, Советская ул, 72",ТУЛА,Тульская область,2.8
"г.Тула, Болдина ул",ТУЛА,Тульская область,2.8
"г.Тула, Металлургов ул, 43",ТУЛА,Тульская область,3.1
"г.Тула, Металлургов 2-й пр-д, 3А",ТУЛА,Тульская область,3.0
"п.Заокский, Поленова ул.",ЗАОКСКИЙ,Тульская область,3.2
"рп.Плеханово, Заводская ул., 14А",ПЛЕХАНОВО,Тульская область,2.7
"г.Щекино, Ленина ул., 53",ЩЁКИНО,Тульская область,2.3
"г.Узловая, Гагарина ул, стр.87",УЗЛОВАЯ,Тульская область,2.2
"г.Донской, Октябрьская ул., 78/15",ДОНСКОЙ,Тульская область,2.0
"г.Тула, Кутузова ул, 102",ТУЛА,Тульская область,3.0
"г.Тула, Демидовская ул., 68",ТУЛА,Тульская область,2.9
"г.Венев, Бундурина ул., 7",ВЕНЁВ,Тульская область,2.7
"г.Новомосковск, Дружбы-Мира, 1/24",НОВОМОСКОВСК,Тульская область,2.3
"г.Алексин, 50 лет Октября ул., 5",АЛЕКСИН,Тульская область,2.0
"г.Алексин, Арматурная ул., 10/16",АЛЕКСИН,Тульская область,2.0
"г.Тула, Большая ул, 8А",ТУЛА,Тульская область,2.1
"г.Тула, Городской пер., 54",ТУЛА,Тульская область,2.0
"г.Богородицк, Урицкого ул., 25",БОГОРОДИЦК,Тульская область,2.0
"г.Тула, Калужское ш., 1",ТУЛА,Тульская область,3.0
"г.Тула, Пушкина ул., 9",ТУЛА,Тульская область,2.3
"г.Донской, Новая ул., 64",ДОНСКОЙ,Тульская область,2.0
"г.Новомосковск, Школьная ул, 21А",НОВОМОСКОВСК,Тульская область,2.1
"г.Узловая, Беклемищева ул., 34",УЗЛОВАЯ,Тульская область,2.0
"г.Тула, Одоевское ш, 17А",ТУЛА,Тульская область,2.5
"г.Тула, Скуратовский мкр, 7",ТУЛА,Тульская область,2.0
"г.Новомосковск, мкр.Сокольники, Шахтерская ул, 4",Новомосковск,Тульская область,2.5
"г.Щекино, Лукашина ул., 6",ЩЁКИНО,Тульская область,2.8
"г.Алексин, Героев Алексинцев ул., 5",АЛЕКСИН,Тульская область,2.2
"г.Киреевск, Чехова ул., 10",КИРЕЕВСК,Тульская область,2.0
"г.Новомосковск, Донской пр-д, 3",НОВОМОСКОВСК,Тульская область,2.2
"г.Новомосковск, Мира ул, 22А",НОВОМОСКОВСК,Тульская область,2.2
"г.Алексин, 50 лет Октября ул, 8 кв.1-9,11-",АЛЕКСИН,Тульская область,2.1
"г.Тула, Московская ул, 34",ТУЛА,Тульская область,3.1
