;ADDRESS;CITY;REGION;Postamat_daily;cashbox_daily;Postamat_trend;cashbox_MAX;cashbox_trend;hh_500;value1;value2;POPULATION;NEAR_Malls;NEAR_Business_centers;NEAR_metro_rjd;NEAR_Stations;macro_salary_avg_yearly
0;г.Калуга, Литейная ул., 25/15;КАЛУГА;Калужская область;;3.3;;13;1;7696;10099;3382;324698;0;0;;остановка;423321
1;г.Калуга, Гагарина ул., 1;КАЛУГА;Калужская область;;;;;;6369;10068;3236;324698;1;1;;остановка;423321
2;г.Калуга, Кибальчича ул., 25;КАЛУГА;Калужская область;;3.1;;12;1;5553;10100;3436;324698;1;0;;;423321
3;г.Калуга, Пестеля ул., 60/49;КАЛУГА;Калужская область;3;2.2;0;12;1;7162;10099;3257;324698;0;0;;;423321
4;г.Калуга, Ленина ул., 81;КАЛУГА;Калужская область;1;2;0;9;1;6269;10096;3195;324698;1;0;;остановка;423321
5;г.Тула, Кутузова ул., 13;ТУЛА;Тульская область;;;;;;5023;10100;3484;482873;1;0;;остановка;387679
6;г.Калуга, Фридриха Энгельса ул., 78А п.1;КАЛУГА;Калужская область;;1.2;;6;1;7703;10088;3243;324698;0;0;;остановка;423321
7;г.Калуга, Московская ул., 104 стр.1;КАЛУГА;Калужская область;3;2.2;0;9;1;5632;10100;3403;324698;0;0;;;423321
8;г.Тула, Демонстрации ул., 1А;ТУЛА;Тульская область;3;4.8;1;10;1;4583;10095;3235;482873;1;1;;остановка;387679
9;г.Тула, Марата ул., 31 А;ТУЛА;Тульская область;2;;1;;;8732;10097;3197;482873;0;0;;остановка;387679
10;г.Калуга, Суворова ул., 77;КАЛУГА;Калужская область;;3.2;;19;1;6487;10094;3194;324698;0;0;;остановка;423321
11;г.Калуга, Ленина ул., 30;КАЛУГА;Калужская область;2;1.2;0;7;1;5156;10096;3228;324698;0;0;;;423321
12;г.Тула, Степанова ул., 89 А;ТУЛА;Тульская область;;;;;;6686;10094;3187;482873;1;0;;остановка;387679
13;г.Калуга, Победы пл, 10;КАЛУГА;Калужская область;;2.5;;14;1;9463;10014;3122;324698;0;0;;остановка;423321
14;г.Тула, Кауля ул., 20/109;ТУЛА;Тульская область;6;;0;;;4112;10100;3475;482873;1;0;;остановка;387679
15;г.Калуга, Братьев Луканиных ул., 1 62;КАЛУГА;Калужская область;5;2.2;1;11;1;5232;10097;3278;324698;0;0;;;423321
16;г.Тула, Пузакова ул., 1;ТУЛА;Тульская область;;;;;;7339;10085;3142;482873;0;0;;остановка;387679
17;г.Калуга, Мичурина ул., 11;КАЛУГА;Калужская область;;;;;;7552;10036;2945;324698;0;1;;;423321
18;г.Тула, Октябрьская ул., 81;ТУЛА;Тульская область;7;;1;;;7054;10091;3043;482873;1;0;;;387679
19;г.Калуга, Пушкина ул., 3 п.68;КАЛУГА;Калужская область;;;;;;3773;10094;3114;324698;0;1;;остановка;423321
